Comment,Designator,Footprint,LCSC Part #
"Conn_01x04_Pin","BLUETOOTH1","PinSocket_1x04_P2.54mm_Vertical","C22438154"
"10u","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23","C0805","C15850"
"100n","C11, C24, C27, C29, C31, C430, C431, C772","C0603","C14663"
"10n","C12, C13, C25, C26, C28, C30","C0603","C57112"
"1u","C32","C0603","C15849"
"B5819W","D2, D3, D4, D5, D416, D417, D101, D107","SOD-123","C8598"
"NUP2105L","D8","SOT-23","C284104"
"12H1500D","F1, F2, F3, F4","PAD-1206-PAD","C182446"
"50mA","F5, F6, F7, F8, F9, F10","Fuse_0603_1608Metric","C369141"
"470R@100MHz","L1, L2","L_0603_1608Metric","C97853"
"MPXH6400A","MAP1","MPXH6400A-SSOP8","C511770"
"33k","R2, R120","R0603","C4216"
"6.8k","R3","R0603","C23212"
"Jumper-Pad-Pad","R4","PAD-0805-PAD","C17477"
"10k","R5, R7, R8","R0805","C17414"
"0","R6, R20, R21, R22, R26, R27, R28","R0603","C21189"
"4.7k","R9, R10, R11, R12, R13, R14, R15, R16, R29, R30, R31, R32, R33, R34","R0603","C23162"
"Conn_02x20_Counter_Clockwise","SAGSOKET1, SOLSOKET1","PinHeader_2x20_P2.54mm_Vertical","C19630948"
"TLE9201SG","U1, U2","Infineon_PG-DSO-12-11","C112633"
"MAX31855KASA","U4","SO8","C52028"
"VNLD5160TR-E","U6, U7, U8, U9, U10, U11","SO8","C377942"
"Conn_01x04_Pin","USB1","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","C265289"
"PESD1CAN","D430, D100","SOT-23","C343993"
"120","R430, R100","R0603","C22787"
"TJA1051T/3/1J","U430, U100","SO8","C38695"
"47u","C410, C412","C1206","C96123"
"100n","C411, C413, C420, C470","C0402","C307331"
"1u","C414, C415","C0402","C52923"
"10u","C421, C422, C423, C424, C425, C426, C117","C0603","C96446"
"4.7u","C427","C0603","C19666"
"10n","C428, C202, C208, C209, C210, C211, C212, C213, C214, C215","C0402","C15195"
"220p","C429","C0402","C1530"
"1N4148WS","D410, D412, D413, D414","SOD-323","C2128"
"PSM712-LF","D411","SOT-23","C32677"
"SMCJ30A","D418","SMC","C310046"
"SS34","D420","SMA","C8678"
"P6SMB6.8CA","D421, D205","SMB","C78395"
"SMD1206P050TF/24","F410","SMD1206","C209741"
"2.2uH","L420","L1210","C36828"
"MWSA0503-10uH","L421","MWSA0503","C139506"
"MHT136UGCT","LED1, LED2, LED3, LED4","LED0402","C434447"
"6.8k","R410, R413","R0402","C25917"
"33k","R411, R424, R425, R474","R0402","C25779"
"1","R420","R0402","C25086"
"10k","R421, R426, R427, R102, R103, R105, R107, R108, R109, R121, R124, R126, R127, R128, R132, R135, R136, R137, R138, R139, R141, R142, R228, R229, R230, R231, R232, R233, R234, R235, R246, R247, R248, R249, R250, R251, R252, R253","R0402","C25744"
"68k","R422","R0402","C36871"
"12k","R423, R472","R0402","C25752"
"4.7k","R428, R144, R203, R204, R207, R208, R219, R220, R223, R224","R0402","C25900"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"TLS115","U411","PG-DSO-8 EP","C540242"
"LMR14020","U420","SOP8","C187824"
"3.3n","C471","C0402","C26404"
"330p","C472","C0402","C13533"
"47p","C473","C0402","C1567"
"680p","C474","C0603","C1630"
"470k","R470","R0402","C25790"
"100k","R471, R473","R0402","C25741"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"1n","C771","C0603","C1588"
"22u","C773","C0603","C59461"
"LED-GREEN-0603","D771, D104, D108","LED-0603","C72043"
"4.7k","R771, R772, R773, R774","R1206","C17936"
"10k","R776, R777","R0603","C25804"
"MAX9924UAUB+","U771","MSOP-10_3x3mm_P0.5mm","C143633"
"STM32F429VGT6","U105","LQFP100","C95448"
"SRV05-4-P-T7","D102, D200, D202, D203, D206","SOT23-6","C85364"
"SN74LVC4245APWR","U103","TSSOP24","C7859"
"SN74LVC1G06DCKR","U110","SOT-353","C7828"
"SMD1206B035TF/16","F100, F101","R1206","C269114"
"REF3033","U102","SOT-23","C36658"
"Molex MicroSD 47219-2001","J100","SDAMB-012","C164170"
"MCP6004","U180, U185, U190, U195","TSSOP14","C50282"
"LPS22HBTR","U107","HLGA-10L","C94049"
"LIS2DH12TR","U106","LGA12","C110926"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"LED-RED-0603","D103","LED-0603","C2286"
"LED-BLUE-0603","D105, D109, D110, D111, D112, D113, D114, D115, D116","LED-0603","C72041"
"LDL1117S33R","U101","SOT-223","C435835"
"BTN","S100, S101","SMD-2_2.9x3.9x1.7","C115357"
"BLM18AG601SN1D","L100","L0603","C19330"
"BAT54S","VD100, VD101, VD102, VD103","SOT-23","C47546"
"AO3401A","Q100, Q102","SOT-23","C15127"
"AO3400A","Q101, Q103","SOT-23","C20917"
"680k","R201, R202, R205, R206, R221, R222, R225, R226","R0402","C163456"
"510","R133, R134","R0603","C23193"
"510","R254, R255, R256, R258","R0402","C25123"
"470","R101, R118, R119","R0603-4","C25510"
"100n","C100, C101, C105, C108, C111, C112, C113, C119, C120, C122, C124, C126, C127, C130, C134, C147, C180, C185, C190, C195, C220, C221, C222","C0402","C1525"
"100","R104, R106","R0603","C22775"
"74LVC2G17GW,125","U108, U109","SOT-363","C80500"
"32.768 kHz","Y101","SMD2012","C99009"
"20 MHz","Y102","SMD5032","C112566"
"18p","C132, C136","C0402","C1549"
"12p","C115, C116","C0402","C1547"
"10k","R129, R130, R140","R0603-4","C29718"
"10","R110, R111, R112, R113, R114, R115, R116, R117","R0402","C25077"
"5.1k","R195","R0402","C25905"
"4.7u","C102, C103, C104, C106, C107, C137, C138, C140","C0402","C23733"
"4.7k","R125, R180, R181, R185, R186, R190, R191, R196, R197, R200, R218, R227, R245","R0603-4","C66697"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"2.2k","R122, R123, R146, R147","R0402","C25879"
"1u","C133","C0603","C519560"
"1n","C135, C139, C141, C142, C143, C144, C145, C146, C200, C201, C203, C225, C226, C227, C228","C0402","C1523"
"0","R131, R143, R145, R148","R0402","C17168"
