Designator,Mid X,Mid Y,Layer,Rotation
C1,78.25mm,25.0mm,Bottom,90.0
C2,76.0mm,25.0mm,Bottom,90.0
C3,73.75mm,25.0mm,Bottom,90.0
C4,71.5mm,25.0mm,Bottom,90.0
C5,69.25mm,25.0mm,Bottom,90.0
C6,69.25mm,29.5mm,Bottom,270.0
C7,71.5mm,29.5mm,Bottom,270.0
C8,73.75mm,29.5mm,Bottom,270.0
C9,76.0mm,29.5mm,Bottom,270.0
C10,78.25mm,29.5mm,Bottom,270.0
C14,78.459999mm,10.709999mm,Bottom,90.0
C15,76.209999mm,10.709999mm,Bottom,90.0
C16,73.959999mm,10.709999mm,Bottom,90.0
C17,71.709999mm,10.709999mm,Bottom,90.0
C18,69.459999mm,10.709999mm,Bottom,90.0
C19,69.5mm,15.0mm,Bottom,270.0
C20,71.75mm,15.0mm,Bottom,270.0
C21,74.0mm,15.0mm,Bottom,270.0
C22,76.25mm,15.0mm,Bottom,270.0
C23,78.5mm,15.0mm,Bottom,270.0
D2,80.5mm,52.5mm,Bottom,180.0
D3,80.5mm,55.5mm,Bottom,180.0
D4,80.5mm,45.0mm,Bottom,180.0
D5,80.5mm,48.0mm,Bottom,180.0
R10,68.0mm,52.5mm,Bottom,0.0
R11,68.0mm,56.0mm,Bottom,0.0
R12,68.0mm,45.0mm,Bottom,0.0
R13,68.0mm,48.5mm,Bottom,0.0
R15,68.0mm,37.5mm,Bottom,180.0
R16,68.0mm,40.5mm,Bottom,180.0
R29,63.0mm,56.0mm,Bottom,180.0
R30,63.0mm,54.5mm,Bottom,180.0
R31,63.0mm,53.0mm,Bottom,180.0
R32,63.0mm,51.5mm,Bottom,180.0
R33,63.0mm,50.0mm,Bottom,180.0
R34,63.0mm,48.5mm,Bottom,180.0
SAGSOKET1,91.54mm,51.74mm,Bottom,180.0
SOLSOKET1,6.0mm,51.78mm,Bottom,180.0
U6,73.5mm,39.5mm,Bottom,270.0
U7,73.5mm,54.5mm,Bottom,270.0
U8,73.5mm,47.0mm,Bottom,270.0
BLUETOOTH1,91.0mm,75.04mm,Top,0.0
C11,64.709999mm,28.5mm,Top,0.0
C12,64.709999mm,25.5mm,Top,0.0
C13,82.5mm,24.5mm,Top,180.0
C24,64.5mm,14.0mm,Top,0.0
C25,64.5mm,11.0mm,Top,0.0
C26,82.5mm,10.0mm,Top,180.0
C27,6.5mm,69.5mm,Top,0.0
C28,6.5mm,68.0mm,Top,0.0
C29,6.5mm,66.53mm,Top,0.0
C30,6.5mm,65.03mm,Top,0.0
C31,6.5mm,63.53mm,Top,0.0
C32,6.5mm,62.03mm,Top,0.0
CAN1,27.437502mm,70.581663mm,Top,0.0
D8,9.5mm,58.5mm,Top,90.0
F1,75.0mm,5.5mm,Top,180.0
F2,75.0mm,3.0mm,Top,0.0
F3,62.5mm,18.5mm,Top,0.0
F4,62.5mm,21.0mm,Top,0.0
F5,15.7875mm,50.5mm,Top,0.0
F6,15.7875mm,52.5mm,Top,0.0
F7,15.7875mm,48.5mm,Top,0.0
F8,15.7875mm,46.5mm,Top,0.0
F9,15.7875mm,44.5mm,Top,0.0
F10,15.7875mm,42.5mm,Top,0.0
L1,6.5mm,58.7125mm,Top,90.0
L2,12.5mm,58.7125mm,Top,90.0
MAP1,17.5mm,74.0mm,Top,180.0
MCU1,21.59999mm,30.99999mm,Top,0.0
R2,62.7mm,8.5mm,Top,0.0
R3,62.7mm,7.0mm,Top,180.0
R4,47.905mm,72.0mm,Top,180.0
R5,14.0mm,38.0mm,Top,0.0
R6,18.0mm,29.5mm,Top,0.0
R7,14.0mm,35.497072mm,Top,0.0
R8,14.0mm,32.994144mm,Top,0.0
R9,83.0mm,28.5mm,Top,0.0
R14,82.5mm,14.0mm,Top,0.0
R20,12.7875mm,52.5mm,Top,0.0
R21,12.7875mm,50.5mm,Top,0.0
R22,12.7875mm,48.5mm,Top,0.0
R26,12.7875mm,46.5mm,Top,0.0
R27,12.7875mm,44.5mm,Top,0.0
R28,12.7875mm,42.5mm,Top,0.0
U1,73.875mm,27.0mm,Top,0.0
U2,73.8mm,12.5mm,Top,0.0
U4,13.0mm,65.5mm,Top,270.0
U9,73.5mm,54.5mm,Top,270.0
U10,73.5mm,47.0mm,Top,270.0
U11,73.5mm,39.5mm,Top,270.0
USB1,90.5mm,59.5mm,Top,180.0
R430,29.387501999999998mm,75.131663mm,Top,180.0
C431,37.037501999999996mm,71.681663mm,Top,0.0
C430,33.337502mm,71.681663mm,Top,180.0
U430,34.657502mm,74.931663mm,Top,90.0
D430,29.387501999999998mm,72.711663mm,Top,90.0
R428,40.690601mm,17.945503mm,Bottom,270.0
R427,53.825001mm,19.300003mm,Bottom,180.0
R426,42.299201mm,18.940103mm,Top,90.0
R425,43.607301mm,11.825002999999999mm,Top,270.0
R424,43.607301mm,9.527902999999998mm,Top,90.0
LED4,55.366901mm,20.188903mm,Top,90.0
LED3,42.299201mm,16.790802999999997mm,Top,270.0
LED2,42.525901mm,11.800002999999998mm,Top,270.0
LED1,42.525901mm,9.552902999999999mm,Top,90.0
R422,49.516600999999994mm,20.300003mm,Bottom,0.0
C426,43.285000999999994mm,14.900002999999998mm,Top,180.0
C425,45.975001mm,14.900002999999998mm,Top,0.0
F410,48.818000999999995mm,6.633202999999998mm,Top,180.0
C415,43.651601mm,20.600002999999997mm,Bottom,180.0
C414,44.626600999999994mm,11.090003mm,Bottom,0.0
U411,46.052800999999995mm,15.950002999999999mm,Bottom,270.0
D410,53.175000999999995mm,6.933202999999999mm,Bottom,0.0
R411,53.076601mm,4.033203mm,Bottom,90.0
D417,50.426601mm,3.8000030000000002mm,Bottom,0.0
C410,45.182001mm,5.740002999999998mm,Bottom,0.0
D412,49.525000999999996mm,3.183202999999999mm,Top,0.0
R410,52.301601mm,3.150002999999998mm,Top,180.0
D413,49.525000999999996mm,4.808202999999999mm,Top,0.0
C411,50.451601mm,5.600002999999997mm,Bottom,180.0
R413,50.451601mm,7.133202999999998mm,Bottom,180.0
D414,52.975001mm,5.600002999999997mm,Bottom,180.0
D418,49.245000999999995mm,10.800002999999998mm,Top,180.0
D416,44.373401mm,6.706302999999998mm,Top,0.0
U410,44.776601mm,4.100002999999997mm,Top,0.0
C412,45.182001mm,3.700002999999999mm,Bottom,0.0
C413,47.151601mm,4.537102999999998mm,Top,270.0
D411,52.826601mm,5.608502999999999mm,Top,180.0
U420,51.911601mm,14.708203mm,Bottom,0.0
R420,47.801601mm,6.2831030000000005mm,Bottom,270.0
C429,49.616600999999996mm,19.300003mm,Bottom,180.0
C427,48.895300999999996mm,6.098102999999998mm,Bottom,90.0
C428,51.805701mm,19.300003mm,Bottom,0.0
C423,50.978401mm,9.208203mm,Bottom,270.0
C421,49.786801mm,9.208203mm,Bottom,270.0
C422,48.595301mm,9.208203mm,Bottom,270.0
C424,52.175000999999995mm,9.208203mm,Bottom,90.0
R421,48.420300999999995mm,10.970002999999998mm,Bottom,180.0
R423,51.705701mm,20.300003mm,Bottom,0.0
D420,50.175000999999995mm,21.300003mm,Top,180.0
C420,53.225001mm,8.800002999999998mm,Bottom,90.0
L420,45.275000999999996mm,8.900002999999998mm,Bottom,0.0
D421,44.925000999999995mm,19.260803mm,Top,90.0
L421,50.675000999999995mm,16.700003mm,Top,180.0
C474,18.089999mm,35.2714mm,Bottom,180.0
R470,17.174999mm,38.925mm,Bottom,90.0
U471,18.121999mm,33.89mm,Top,90.0
R474,18.089599mm,33.025mm,Bottom,90.0
R473,17.624999mm,34.2846mm,Bottom,180.0
R472,17.174999mm,36.8mm,Bottom,90.0
C473,19.074999000000002mm,32.925mm,Bottom,90.0
C472,17.224999mm,32.925mm,Bottom,270.0
U470,18.121999mm,37.864999999999995mm,Top,90.0
R471,18.074999000000002mm,38.925mm,Bottom,270.0
C471,19.074999000000002mm,38.875mm,Bottom,270.0
C470,19.074999000000002mm,36.75mm,Bottom,90.0
C771,72.05000000000001mm,71.0825mm,Top,90.0
C772,67.15mm,71.7825mm,Top,0.0
C773,67.15mm,70.434595mm,Top,0.0
D771,70.25mm,68.5825mm,Top,0.0
R771,76.65mm,74.7825mm,Top,0.0
R772,78.55000000000001mm,70.9825mm,Top,90.0
R773,74.95mm,72.3825mm,Top,0.0
R774,74.95mm,69.8825mm,Top,0.0
R775,70.75mm,71.0825mm,Top,90.0
R776,67.15mm,68.6325mm,Top,0.0
R777,69.25mm,71.0825mm,Top,90.0
U771,69.35000000000001mm,74.2825mm,Top,180.0
R148,33.39999mm,65.19999mm,Bottom,180.0
R142,34.799989999999994mm,66.09999mm,Bottom,180.0
U108,50.98018999999999mm,33.00899mm,Top,0.0
VD103,53.79999mm,37.59499mm,Bottom,270.0
U101,25.749989999999997mm,62.44639mm,Top,270.0
C119,33.40009mm,57.719390000000004mm,Bottom,0.0
R147,42.41159mm,65.51629mm,Bottom,0.0
R146,22.73389mm,64.09999mm,Bottom,270.0
R141,35.799989999999994mm,66.09999mm,Bottom,180.0
U102,30.85649mm,60.72849mm,Bottom,180.0
R109,30.916289999999996mm,60.13279mm,Top,180.0
R108,27.999989999999997mm,59.74399mm,Bottom,180.0
Q103,31.642789999999998mm,62.19679mm,Top,180.0
Q102,36.19499mm,64.79999mm,Top,180.0
Q101,30.47249mm,65.03499mm,Bottom,0.0
Q100,27.09999mm,62.39499mm,Bottom,270.0
L100,36.99939mm,46.34999mm,Bottom,180.0
F100,38.85499mm,65.02839mm,Bottom,180.0
C120,35.100089999999994mm,46.19949mm,Top,0.0
C107,29.97849mm,62.79999mm,Bottom,0.0
C106,30.00349mm,58.45689mm,Bottom,0.0
U110,29.553089999999997mm,56.40489mm,Bottom,270.0
R145,29.59219mm,53.44469mm,Bottom,0.0
R144,29.59219mm,54.390190000000004mm,Bottom,0.0
R143,22.996789999999997mm,42.23119mm,Bottom,270.0
R107,31.71389mm,64.37839mm,Top,0.0
D108,31.353089999999998mm,65.74999mm,Top,180.0
U107,52.70649mm,42.20389mm,Bottom,0.0
U106,53.39239mm,55.631789999999995mm,Top,0.0
C134,52.70649mm,40.46759mm,Bottom,0.0
C126,53.69519mm,57.57509mm,Top,180.0
VD102,50.44619mm,37.59499mm,Bottom,270.0
VD101,53.79999mm,33.20499mm,Bottom,90.0
VD100,50.44619mm,33.20499mm,Bottom,90.0
U109,50.98018999999999mm,35.48399mm,Top,0.0
U103,28.09999mm,48.82499mm,Bottom,270.0
U100,25.70009mm,55.50049mm,Top,90.0
U195,32.89999mm,41.34999mm,Top,90.0
U190,47.09999mm,41.34999mm,Top,90.0
U185,25.799989999999998mm,41.34999mm,Top,90.0
U180,39.99999mm,41.34999mm,Top,90.0
S101,41.79969mm,64.61429mm,Top,0.0
S100,52.94649mm,51.49999mm,Top,90.0
R140,46.90009mm,35.29999mm,Bottom,0.0
R111,23.09999mm,46.64999mm,Bottom,180.0
R112,23.09999mm,47.69999mm,Bottom,180.0
R117,23.09999mm,52.94999mm,Bottom,180.0
R115,23.09999mm,50.849990000000005mm,Bottom,180.0
R116,23.09999mm,51.89999mm,Bottom,180.0
R114,23.09999mm,49.79999mm,Bottom,180.0
R113,23.09999mm,48.74999mm,Bottom,180.0
R110,23.09999mm,45.59999mm,Bottom,180.0
R120,53.41829mm,58.78699mm,Top,0.0
R100,22.800089999999997mm,55.49999mm,Bottom,90.0
R258,43.557689999999994mm,34.79489mm,Bottom,270.0
R255,22.749989999999997mm,32.89999mm,Bottom,270.0
R256,44.49999mm,37.49999mm,Bottom,90.0
R254,22.64999mm,35.34999mm,Top,270.0
R245,40.20009mm,33.84999mm,Bottom,0.0
R227,35.39999mm,33.84999mm,Bottom,0.0
R200,25.800089999999997mm,33.84999mm,Bottom,0.0
R197,32.90009mm,42.69999mm,Bottom,180.0
R196,32.89999mm,39.89999mm,Bottom,0.0
R195,35.75009mm,39.39999mm,Bottom,270.0
R191,46.99999mm,42.69999mm,Bottom,180.0
R190,46.99999mm,39.89999mm,Bottom,0.0
R186,25.799989999999998mm,42.69999mm,Bottom,180.0
R185,25.799989999999998mm,39.89999mm,Bottom,0.0
R181,39.99999mm,42.69999mm,Bottom,180.0
R180,39.99999mm,39.89999mm,Bottom,0.0
R139,48.09999mm,32.79999mm,Top,270.0
R138,46.89999mm,32.79999mm,Top,270.0
R137,45.69999mm,32.79999mm,Top,270.0
R136,44.49999mm,32.79999mm,Top,270.0
R135,48.09999mm,33.79999mm,Top,90.0
R132,46.89999mm,33.79999mm,Top,90.0
R126,45.69999mm,33.79999mm,Top,90.0
R124,44.49999mm,33.79999mm,Top,90.0
R119,23.69999mm,46.69999mm,Top,90.0
R118,23.69999mm,50.79999mm,Top,90.0
R253,42.09999mm,32.79999mm,Top,90.0
R252,40.89999mm,32.79999mm,Top,90.0
R251,39.69999mm,32.79999mm,Top,90.0
R250,38.49999mm,32.79999mm,Top,90.0
R249,42.09999mm,33.79999mm,Top,270.0
R248,40.89999mm,33.79999mm,Top,270.0
R247,39.69999mm,33.79999mm,Top,270.0
R246,38.49999mm,33.79999mm,Top,270.0
R235,37.299989999999994mm,32.79999mm,Top,90.0
R234,36.09999mm,32.79999mm,Top,90.0
R233,34.89999mm,32.79999mm,Top,90.0
R232,33.69999mm,32.79999mm,Top,90.0
R231,37.299989999999994mm,33.79999mm,Top,270.0
R230,36.09999mm,33.79999mm,Top,270.0
R229,34.89999mm,33.79999mm,Top,270.0
R228,33.69999mm,33.79999mm,Top,270.0
R226,32.49999mm,32.79999mm,Top,270.0
R225,31.299989999999998mm,32.79999mm,Top,270.0
R224,30.09999mm,32.79999mm,Top,270.0
R223,28.89999mm,32.79999mm,Top,270.0
R222,32.49999mm,33.79999mm,Top,90.0
R221,31.299989999999998mm,33.79999mm,Top,90.0
R220,30.09999mm,33.79999mm,Top,90.0
R219,28.89999mm,33.79999mm,Top,90.0
R218,30.59999mm,33.84999mm,Bottom,0.0
R208,27.69999mm,32.79999mm,Top,270.0
R207,26.499989999999997mm,32.79999mm,Top,270.0
R206,25.299989999999998mm,32.79999mm,Top,270.0
R205,24.09999mm,32.79999mm,Top,270.0
R204,27.69999mm,33.79999mm,Top,90.0
R203,26.499989999999997mm,33.79999mm,Top,90.0
R202,25.299989999999998mm,33.79999mm,Top,90.0
R201,24.09999mm,33.79999mm,Top,90.0
P106,44.99999mm,44.74999mm,Top,270.0
P105,37.37999mm,44.74999mm,Top,270.0
P104,41.38999mm,44.74999mm,Top,270.0
P201,43.34999mm,33.29999mm,Top,90.0
P200,22.799989999999998mm,31.79999mm,Top,90.0
J100,48.549989999999994mm,54.599990000000005mm,Bottom,90.0
D100,26.19999mm,54.79229mm,Bottom,180.0
D205,52.79649mm,40.05639mm,Top,90.0
D206,40.299989999999994mm,36.59999mm,Top,180.0
D203,35.49999mm,36.59999mm,Top,180.0
D200,25.89999mm,36.59999mm,Top,180.0
D116,27.236089999999997mm,45.39949mm,Top,180.0
D115,31.47439mm,45.39949mm,Top,180.0
D114,27.236089999999997mm,47.33289mm,Top,180.0
D113,31.47439mm,47.33289mm,Top,180.0
D112,27.236089999999997mm,49.26619mm,Top,180.0
D111,31.47439mm,49.26619mm,Top,180.0
D110,27.236089999999997mm,51.19949mm,Top,180.0
D109,31.353089999999998mm,51.33889mm,Top,180.0
D202,30.69999mm,36.59999mm,Top,180.0
C143,44.49999mm,35.69999mm,Top,270.0
C144,45.69999mm,35.69999mm,Top,90.0
C145,46.89999mm,35.69999mm,Top,270.0
C146,48.09999mm,35.69999mm,Top,270.0
C112,33.412189999999995mm,45.08529mm,Bottom,0.0
C111,23.09999mm,44.59999mm,Bottom,180.0
C123,48.69999mm,63.224990000000005mm,Bottom,0.0
C117,48.69999mm,64.49249mm,Bottom,0.0
C105,26.89999mm,56.99999mm,Bottom,0.0
C100,24.327489999999997mm,56.99999mm,Bottom,180.0
C229,44.49999mm,34.79489mm,Bottom,90.0
C224,22.64999mm,33.39999mm,Top,90.0
C223,22.64999mm,37.64999mm,Top,90.0
C222,22.69999mm,34.69999mm,Bottom,270.0
C221,42.92269mm,37.47279mm,Top,270.0
C220,42.81529mm,37.49999mm,Bottom,270.0
C225,38.30009mm,36.54999mm,Bottom,270.0
C226,39.39999mm,36.54999mm,Bottom,270.0
C227,41.55009mm,36.54999mm,Bottom,270.0
C228,42.61529mm,33.79489mm,Bottom,90.0
C212,33.50009mm,36.54999mm,Bottom,270.0
C213,34.59999mm,36.54999mm,Bottom,270.0
C214,36.75009mm,36.54999mm,Bottom,270.0
C215,37.79439mm,33.79489mm,Bottom,90.0
C200,23.90009mm,36.54999mm,Bottom,270.0
C201,24.999989999999997mm,36.54999mm,Bottom,270.0
C202,27.15009mm,36.54999mm,Bottom,270.0
C203,28.190489999999997mm,33.79489mm,Bottom,90.0
C195,35.75009mm,41.99999mm,Bottom,270.0
C190,49.84999mm,41.84999mm,Bottom,270.0
C185,28.64999mm,41.99999mm,Bottom,270.0
C180,42.84999mm,41.99999mm,Bottom,270.0
C142,48.09999mm,32.79999mm,Bottom,270.0
C141,46.89999mm,32.79999mm,Bottom,270.0
C139,45.70009mm,32.79999mm,Bottom,90.0
C135,44.49999mm,32.79999mm,Bottom,270.0
C211,33.008089999999996mm,33.79489mm,Bottom,90.0
C210,31.950089999999996mm,36.54999mm,Bottom,270.0
C209,29.799989999999998mm,36.54999mm,Bottom,270.0
C208,28.70009mm,36.54999mm,Bottom,270.0
C147,39.44999mm,50.208690000000004mm,Bottom,180.0
F101,24.39999mm,63.397189999999995mm,Bottom,90.0
R134,33.64999mm,62.89999mm,Bottom,0.0
R133,33.64999mm,64.07499mm,Bottom,0.0
C133,33.799989999999994mm,60.78999mm,Bottom,90.0
R131,40.59599mm,46.14379mm,Bottom,180.0
R130,33.90009mm,51.32499mm,Bottom,90.0
R129,33.90009mm,47.44999mm,Bottom,90.0
Y101,36.18739mm,59.21739mm,Bottom,0.0
C116,37.12859mm,57.72859mm,Bottom,180.0
C115,35.26439mm,57.74229mm,Bottom,0.0
C124,39.44999mm,49.068889999999996mm,Bottom,0.0
R121,49.125389999999996mm,65.57699mm,Bottom,180.0
R106,42.94999mm,63.724990000000005mm,Bottom,0.0
J101,48.299989999999994mm,64.44999mm,Top,180.0
C108,35.39999mm,60.79999mm,Bottom,0.0
R105,53.34909mm,48.18109mm,Top,0.0
R104,53.14909mm,46.99109mm,Top,0.0
R103,53.34909mm,45.88109mm,Top,0.0
R125,53.899989999999995mm,34.31999mm,Top,270.0
C104,27.749989999999997mm,65.39999mm,Bottom,90.0
C137,35.09519mm,45.10849mm,Top,0.0
D101,24.52949mm,59.644490000000005mm,Bottom,180.0
C101,51.49159mm,65.57699mm,Bottom,180.0
R102,23.327489999999997mm,58.07449mm,Bottom,180.0
R101,33.90009mm,55.19999mm,Bottom,270.0
D102,53.19999mm,64.19999mm,Top,90.0
Y102,38.84379mm,54.18649mm,Bottom,90.0
R122,53.19999mm,43.99999mm,Bottom,0.0
R123,50.90979mm,41.97589mm,Bottom,270.0
R127,38.99999mm,59.89999mm,Bottom,180.0
R128,42.67779mm,46.14379mm,Bottom,180.0
D106,31.353089999999998mm,58.76489mm,Top,180.0
D105,31.353089999999998mm,56.96489mm,Top,180.0
D107,37.50499mm,62.48949mm,Bottom,180.0
D104,31.353089999999998mm,55.16489mm,Top,180.0
D103,31.353089999999998mm,53.36489mm,Top,180.0
C140,38.99999mm,58.79999mm,Bottom,0.0
C132,36.56749mm,55.17509mm,Bottom,90.0
C136,36.56749mm,53.09989mm,Bottom,270.0
C127,47.19999mm,46.14379mm,Bottom,0.0
C138,22.73389mm,62.17219mm,Bottom,90.0
C130,37.21749mm,48.05349mm,Bottom,0.0
C131,47.19999mm,44.99999mm,Bottom,0.0
C122,37.21749mm,50.208690000000004mm,Bottom,180.0
C114,53.06829mm,59.99999mm,Top,0.0
C103,26.69999mm,65.39999mm,Bottom,90.0
C113,53.06829mm,61.19999mm,Top,180.0
C102,26.89999mm,58.07449mm,Bottom,180.0
U105,42.60939mm,54.04999mm,Top,270.0
